city,in_flow,out_flow,net_flow,total_flow,date
ZhaoQing,126.74658539965036,118.8765123179188,7.870073081731547,245.62309771756915,Jul
ZhongShan,333.69417089295735,349.53685581176694,-15.84268492,683.2310267047243,Jul
ZhuHai,226.9530409576608,194.5863271950968,32.36671376256399,421.53936815275756,Jul
DongGuan,582.3619600632798,662.0226767825807,-79.66071672,1244.3846368458603,Aug
FoShan,580.6270540033923,618.5075211607243,-37.88046716,1199.1345751641165,Aug
GuangZhou,811.0009899,751.6616332322997,59.33935671321535,1562.6626231778146,Aug
HuiZhou,428.3183272079124,386.15594744521127,42.16237976270117,814.4742746531236,Aug
JiangMen,170.99209751004787,163.07328111074293,7.918816399304944,334.0653786207908,Aug
ShenZhen,664.6645183792383,684.5431792554128,-19.87866088,1349.2076976346511,Aug
ZhaoQing,134.50207035214154,118.81078842163582,15.691281930505724,253.31285877377735,Aug
ZhongShan,314.26475752923625,339.3499515855359,-25.08519406,653.6147091147722,Aug
ZhuHai,233.7538942851696,196.3606902817898,37.39320400337979,430.11458456695937,Aug
DongGuan,572.4631498,613.5329000908799,-41.06975027,1185.9960499120798,Sep
FoShan,561.4549642465199,578.3015082779999,-16.84654403,1139.7564725245197,Sep
GuangZhou,738.4855035671999,705.5405207679601,32.944982799239824,1444.026024,Sep
HuiZhou,353.8489833,326.3907978,27.458185462920028,680.2397811565199,Sep
JiangMen,151.67880923940004,143.40886379027998,8.269945449120058,295.087673,Sep
ShenZhen,600.0650562527999,631.8106306,-31.74557433,1231.875687,Sep
ZhaoQing,127.6039503,114.045727,13.55822323,241.6496773,Sep
ZhongShan,294.9552541,311.3521088,-16.39685465,606.3073629098401,Sep
ZhuHai,191.9089021,168.0815158,23.827386341879983,359.9904179,Sep
DongGuan,628.6603922121915,674.3722321616817,-45.71183995,1303.0326243738732,Oct
FoShan,630.9485334,635.2880482419771,-4.339514886,1266.236582,Oct
GuangZhou,822.0748580349677,790.8598532968404,31.21500473812739,1612.934711331808,Oct
HuiZhou,401.15336159388136,374.0784030604995,27.07495853338185,775.2317646543809,Oct
JiangMen,178.27651211484286,172.24151521178777,6.034996903055088,350.51802732663066,Oct
ShenZhen,674.8067633008159,709.4816269855942,-34.67486368,1384.28839,Oct
ZhaoQing,137.17018904804578,130.25171342434965,6.918475623696139,267.42190247239546,Oct
ZhongShan,326.8880193792175,348.5439015450032,-21.65588217,675.4319209242208,Oct
ZhuHai,224.8347543304683,189.69608944298025,35.13866488748806,414.5308437734485,Oct
DongGuan,576.0995542,610.8444456735601,-34.74489146,1186.944,Nov
FoShan,583.3750999233599,592.9866078551998,-9.611507932,1176.3617077785598,Nov
GuangZhou,748.745145,738.0159211468799,10.729223901000069,1486.761066,Nov
HuiZhou,359.1942957,327.1012563,32.09303938176004,686.295552,Nov
JiangMen,161.9461955,147.8127206,14.133474926639993,309.7589161,Nov
ShenZhen,608.0923012176002,645.1829452,-37.09064401,1253.2752464464802,Nov
ZhaoQing,122.7132144,111.89231155871998,10.820902832640016,234.605526,Nov
ZhongShan,304.6445774,316.2535089,-11.60893145,620.8980863212801,Nov
ZhuHai,208.8139436,183.5346097,25.27933380696001,392.3485533,Nov
DongGuan,564.9267593338689,599.7857719964704,-34.85901266,1164.7125313303393,Dec
FoShan,568.1698203951759,590.4089264004161,-22.23910601,1158.578746795592,Dec
GuangZhou,739.9121081050114,715.9364176450365,23.975690459974885,1455.8485257500479,Dec
HuiZhou,351.0955622948553,328.23142913537987,22.864133159475443,679.3269914302352,Dec
JiangMen,158.54476472990635,145.4175322007076,13.12723252919875,303.96229693061395,Dec
ShenZhen,603.5413387324496,627.8112723378979,-24.26993361,1231.3526110703474,Dec
ZhaoQing,119.1583375733819,107.23791038729657,11.920427186085334,226.39624796067847,Dec
ZhongShan,304.90244155505934,314.0559151429261,-9.153473588,618.9583566979854,Dec
ZhuHai,196.9861378194506,178.35209529302807,18.63404252642252,375.33823311247863,Dec
